id,slug,commonName,scientificName,taxonGroup,endemic,conservationStatus,fluRisk,fluStatus,fluStatusUpdatedAt,regions,bio,endemicVerified,endemicSourceUrl,conservationStatusVerified,conservationStatusSourceUrl,fluRiskVerified,fluRiskSourceUrl,researchStatus
,larus-pacificus-georgii,West Coast Pacific Gull,Larus pacificus georgii,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,chroicocephalus-novaehollandiae-novaehollandiae,Australian Silver Gull,Chroicocephalus novaehollandiae novaehollandiae,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,chlidonias-hybrida,Whiskered Tern,Chlidonias hybrida,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,chlidonias-hybrida-javanicus,Eastern Whiskered Tern,Chlidonias hybrida javanicus,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,chlidonias-leucopterus,White-winged Black Tern,Chlidonias leucopterus,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,ardea-alba,Great Egret,Ardea alba,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,ardea-alba-modesta,Eastern Great Egret,Ardea alba modesta,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,butorides-striata-rogersi,Eastern Striated Heron,Butorides striata rogersi,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,butorides-striata-stagnatilis,Western Striated Heron,Butorides striata stagnatilis,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,egretta-novaehollandiae,White-faced Heron,Egretta novaehollandiae,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,threskiornis-moluccus,Australian White Ibis,Threskiornis moluccus,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,threskiornis-moluccus-moluccus,Australian White Ibis,Threskiornis moluccus moluccus,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,plegadis-falcinellus,Glossy Ibis,Plegadis falcinellus,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,platalea-regia,Royal Spoonbill,Platalea regia,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,threskiornis-spinicollis,Straw-necked Ibis,Threskiornis spinicollis,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,platalea-flavipes,Yellow-billed Spoonbill,Platalea flavipes,Birds,,,Very high,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,tyto-tenebricosa,Greater Sooty Owl,Tyto tenebricosa,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,tyto-tenebricosa-tenebricosa,Greater Sooty Owl,Tyto tenebricosa tenebricosa,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,tyto-multipunctata,Lesser Sooty Owl,Tyto multipunctata,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,alectura-lathami-purpureicollis,Cape York Australian Brush-turkey,Alectura lathami purpureicollis,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,eudyptes-pachyrhynchus,Fiordland Penguin,Eudyptes pachyrhynchus,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
,pygoscelis-papua-papua,Subantarctic Gentoo Penguin,Pygoscelis papua papua,Birds,,,High,,,,,,,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,True,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,
